IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
80.66.75.126,ip,SB,MC,8,BC,1114016,2026-05-07 12:14:58.707853,2026-05-21 11:13:29
176.65.139.134,ip,SB,MI,8,OT,1113800,2026-05-07 11:50:05.636388,2026-05-21 11:13:29
38.244.158.103,ip,IH,MI,8,OT,1113202,2026-05-07 07:58:29.157803,2026-05-21 11:13:29
38.244.158.56,ip,IH,MI,8,OT,1113176,2026-05-07 07:58:29.157803,2026-05-21 11:13:29
92.246.136.14,ip,IH,MI,8,OT,1113102,2026-05-07 07:58:29.157803,2026-05-21 11:13:29
168.100.9.122,ip,IH,MI,8,OT,1113068,2026-05-07 07:58:29.157803,2026-05-21 11:13:29
45.94.47.204,ip,SB,MD,8,OT,1112946,2026-05-07 07:21:34.894148,2026-05-21 11:13:29
199.217.98.33,ip,SB,MD,8,OT,1112944,2026-05-07 07:21:34.894148,2026-05-21 11:13:29
47.76.100.159,ip,SB,MC,8,OT,1112772,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
64.95.10.253,ip,SB,MC,8,OT,1112770,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
64.190.113.170,ip,SB,MC,8,OT,1112768,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
38.60.199.34,ip,SB,MC,8,OT,1112766,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
45.77.34.194,ip,SB,MC,8,OT,1112764,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
154.223.21.130,ip,SB,MC,8,OT,1112762,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
216.238.112.222,ip,SB,MC,8,OT,1112760,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
154.223.21.194,ip,SB,MC,8,OT,1112758,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
154.205.154.65,ip,SB,MC,8,OT,1112756,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
154.205.154.70,ip,SB,MC,8,OT,1112754,2026-05-06 19:05:55.791094,2026-05-21 11:13:29
