IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
fulfibivicederedere.xyz,domain,IH,BP,4,PH,1124126,2026-06-06 18:14:48.905643,2026-06-06 19:59:43
artkhersesycokbasitsendegelbzekatl.online,domain,IH,BP,4,PH,1124124,2026-06-06 17:48:44.59861,2026-06-06 19:59:43
tonaro.shop,domain,IH,BP,4,PH,1124122,2026-06-06 17:48:26.156562,2026-06-06 19:59:43
tr.karacasales.shop,domain,IH,BP,4,PH,1124120,2026-06-06 17:47:46.699048,2026-06-06 19:59:43
kanpamyaburedayenc4b1.pro,domain,IH,BP,4,PH,1124118,2026-06-06 17:47:16.503825,2026-06-06 19:59:43
a1o1aktuel.blogspot.com,domain,IH,BP,4,PH,1124116,2026-06-06 17:46:14.668682,2026-06-06 19:59:43
a1o1caydanl.duckdns.org,domain,IH,BP,4,PH,1124114,2026-06-06 17:46:01.509234,2026-06-06 19:59:43
carefesfas.duckdns.org,domain,IH,BP,4,PH,1124112,2026-06-06 17:20:04.300193,2026-06-06 19:59:43
kampanyyafirsatllarikvueyts.sbs,domain,IH,BP,4,PH,1124110,2026-06-06 17:16:08.534922,2026-06-06 19:59:43
kuvuytilebizlrlee.online,domain,IH,BP,4,PH,1124108,2026-06-06 17:15:53.702402,2026-06-06 19:59:43
krediye-online-basvur.sbs,domain,SB,BP,4,PH,1124106,2026-06-06 17:09:00.453282,2026-06-06 19:59:43
istcanman.xyz,domain,IH,BP,4,PH,1124104,2026-06-06 17:07:18.585363,2026-06-06 19:59:43
monteraa.shop,domain,IH,BP,4,PH,1124102,2026-06-06 17:07:02.603568,2026-06-06 19:59:43
nerdebudommarka34.info,domain,IH,BP,4,PH,1124100,2026-06-06 16:33:35.369342,2026-06-06 19:59:43
delink.click,domain,IH,BP,4,PH,1124098,2026-06-06 16:17:01.934953,2026-06-06 19:59:43
okmegnsdc.info,domain,IH,BP,4,PH,1124096,2026-06-06 16:16:43.696831,2026-06-06 19:59:43
join-invest.info,domain,IH,BP,4,PH,1124094,2026-06-06 16:16:25.426473,2026-06-06 19:59:43
sponsorlu2394239413.click,domain,IH,BP,4,PH,1124092,2026-06-06 15:38:28.103123,2026-06-06 19:59:43
kmpnylrrsnffrsttbsvrrr.live,domain,IH,BP,4,PH,1124090,2026-06-06 15:35:26.866684,2026-06-06 19:59:43
karac.shop,domain,IH,BP,4,PH,1124088,2026-06-06 15:35:12.466372,2026-06-06 19:59:43
krediye-online-basvur.lat,domain,IH,BP,4,PH,1124086,2026-06-06 15:34:58.075543,2026-06-06 19:59:43
nuhugurtertese.xyz,domain,IH,BP,4,PH,1124084,2026-06-06 15:34:46.326357,2026-06-06 19:59:43
zzshops.top,domain,IH,BP,4,PH,1124082,2026-06-06 15:34:35.363539,2026-06-06 19:59:43
bathzz.shop,domain,IH,BP,4,PH,1124080,2026-06-06 15:34:23.530712,2026-06-06 19:59:43
globalbuyshop.top,domain,IH,BP,4,PH,1124078,2026-06-06 15:33:40.32774,2026-06-06 19:59:43
saletiszacipo.club,domain,IH,BP,4,PH,1124076,2026-06-06 15:33:20.904834,2026-06-06 19:59:43
zenvoria.top,domain,IH,BP,4,PH,1124074,2026-06-06 15:33:08.835367,2026-06-06 19:59:43
